frame,channel,SDR_mix,SDR_est,SDR_imp,process,fft.len,fft.hop,fft.win,bss.demix_update,bss.source_model,bss.n_iter,bss.ref_mic,bss.f_limit,bss.rot,bss.forget,mixdir_name
21,0,-1.2542773441031543,3.8019180446933314,5.0561953887964854,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
22,0,-7.881660123106936,1.2127430951989209,9.094403218305857,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
23,0,-18.185036967199085,-12.772117929966036,5.412919037233049,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
24,0,-0.8514065411319014,-2.4575054026098715,-1.60609886147797,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
25,0,-3.5967640041395517,-1.886809013559839,1.7099549905797127,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
26,0,-2.5638265024097295,-1.0838347799982841,1.4799917224114454,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
27,0,-8.125270024011716,-0.8847875190645369,7.240482504947179,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
28,0,-13.87015955352625,-2.702823028042296,11.167336525483954,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
29,0,-1.4589482721365712,0.16989334918284885,1.6288416213194201,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
0,1,-2.519163074202593,7.590961509232508,10.1101245834351,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
1,1,-7.802984305442214,-4.2997543272857195,3.5032299781564946,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
2,1,-1.1109708659892434,7.336952484745084,8.447923350734328,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
3,1,-11.095500831275418,-9.354705191422836,1.740795639852582,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
4,1,-4.049188695325483,1.596258455396495,5.645447150721978,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
5,1,0.6978202734959542,4.157538184254595,3.4597179107586413,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
6,1,-3.1800672911815537,1.5657128318707385,4.745780123052292,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
7,1,-6.13328639895186,2.183455976695607,8.316742375647467,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
8,1,-5.9299674715372666,2.330940274326988,8.260907745864255,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
9,1,-2.3727748666771564,1.9492744237246162,4.322049290401773,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
